License Plate,Speed,Date,Time
7R-183-JF,62.4,2025-08-02,08:41:42
R-183-JF,116.15,2025-08-02,08:41:44
TRISPIE,110.64,2025-08-02,08:41:45
CR1S3-JF-,92.88,2025-08-02,08:41:46
7R-183-JF,62.4,2025-08-02,08:41:46
R-183-JF,116.15,2025-08-02,08:41:48
-R-183-JF,61.94,2025-08-02,08:41:48
4R-183-JF,68.53,2025-08-02,08:41:50
CR1S3-JF-,92.88,2025-08-02,08:41:50
1R-183-JF,61.44,2025-08-02,08:41:51
-R-183-JF,61.94,2025-08-02,08:41:52
4R-183-JF,68.53,2025-08-02,08:41:54
R-183-JI,86.88,2025-08-02,08:41:54
1R-183-JF,61.44,2025-08-02,08:41:55
R-183-JSF,102.24,2025-08-02,08:41:57
R-183-JI,86.88,2025-08-02,08:41:58
4R-1B3-J1,60.71,2025-08-02,08:41:58
R-183-JSF,102.24,2025-08-02,08:42:01
4R-1B3-J1,60.71,2025-08-02,08:42:02
R-183-JE,99.25,2025-08-02,08:42:03
R-183-JE,99.25,2025-08-02,08:42:06
YR-183-JE,114.61,2025-08-02,08:42:11
1-R-183-JE,96.65,2025-08-02,08:42:14
1RAB3-JF,92.58,2025-08-02,08:42:15
YR-183-JE,114.61,2025-08-02,08:42:16
J-R-183-J,94.22,2025-08-02,08:42:16
1-R-183-JE,96.65,2025-08-02,08:42:17
YR-183JF,97.98,2025-08-02,08:42:18
1RAB3-JF,92.58,2025-08-02,08:42:19
J-R-183-J,94.22,2025-08-02,08:42:20
UNREADABLE,186.81,2025-08-02,08:42:20
YR-183JF,97.98,2025-08-02,08:42:21
UNREADABLE,186.81,2025-08-02,08:42:24
3R-183-JF,139.49,2025-08-02,08:42:24
R7183-JF,195.23,2025-08-02,08:42:26
R-183-JF-,66.51,2025-08-02,08:42:27
3R-183-JF,139.49,2025-08-02,08:42:27
R7183-JF,195.23,2025-08-02,08:42:31
JR-183-JF,60.62,2025-08-02,08:42:31
R-183-JF-,66.51,2025-08-02,08:42:32
AR-183-JF,164.19,2025-08-02,08:42:33
JR-183-JF,60.62,2025-08-02,08:42:35
1R-183-5F,72.61,2025-08-02,08:42:36
AR-183-JF,164.19,2025-08-02,08:42:40
1R-183-5F,72.61,2025-08-02,08:42:42
JR-183-JF-,76.21,2025-08-02,08:42:43
R183-JF-,101.89,2025-08-02,08:42:45
JR-183-JF-,76.21,2025-08-02,08:42:46
R183-JF-,101.89,2025-08-02,08:42:48
5R-183-JF-,69.74,2025-08-02,08:42:49
FR-163-JF,100.02,2025-08-02,08:42:51
5R-183-JF-,69.74,2025-08-02,08:42:53
RIGINE,128.34,2025-08-02,08:43:06
FR-163-JF,100.02,2025-08-02,08:43:06
RIGINE,128.34,2025-08-02,08:43:15
R-1BIE,131.43,2025-08-02,08:43:19
R-1BIE,131.43,2025-08-02,08:43:21
4R-1BAE,103.09,2025-08-02,08:43:21
4R-1BAE,103.09,2025-08-02,08:43:24
SAS,100.05,2025-08-02,08:43:26
SAS,100.05,2025-08-02,08:43:27
7RATIE,66.61,2025-08-02,08:43:29
7RATIE,66.61,2025-08-02,08:43:29
LT,63.47,2025-08-02,08:43:47
LT,63.47,2025-08-02,08:43:47
FEISTY,89.88,2025-08-02,08:43:49
FEISTY,89.88,2025-08-02,08:43:49
ASST,65.58,2025-08-02,08:43:51
ASST,65.58,2025-08-02,08:43:51
PEBTEIT,64.42,2025-08-02,08:43:56
PEBTEIT,64.42,2025-08-02,08:43:56
IBISTN,87.28,2025-08-02,08:43:57
IBISTN,87.28,2025-08-02,08:43:57
POREPH-BTASY,72.83,2025-08-02,08:43:59
POREPH-BTASY,72.83,2025-08-02,08:43:59
HBT,72.83,2025-08-02,08:43:59
HBT,72.83,2025-08-02,08:43:59
VHS94JV,67.09,2025-08-02,08:44:01
VHS94JV,67.09,2025-08-02,08:44:01
THEB94-SV,136.33,2025-08-02,08:44:03
THEB94-SV,136.33,2025-08-02,08:44:03
1H-B94-JV,61.43,2025-08-02,08:44:05
1H-B94-JV,61.43,2025-08-02,08:44:05
EEAH-894SV,144.25,2025-08-02,08:44:07
EEAH-894SV,144.25,2025-08-02,08:44:07
1H-894-JY,151.61,2025-08-02,08:44:09
1H-894-JY,151.61,2025-08-02,08:44:09
H-894-I0,151.61,2025-08-02,08:44:10
H-894-I0,151.61,2025-08-02,08:44:10
1H-894-IV,139.54,2025-08-02,08:44:12
1H-894-IV,139.54,2025-08-02,08:44:12
1-B94-JV,145.96,2025-08-02,08:44:15
1-B94-JV,145.96,2025-08-02,08:44:15
WS94-SV,130.21,2025-08-02,08:44:25
WS94-SV,130.21,2025-08-02,08:44:27
894-JV,129.14,2025-08-02,08:44:27
894-JV,129.14,2025-08-02,08:44:28
N-894-V,115.1,2025-08-02,08:44:29
N-894-V,115.1,2025-08-02,08:44:30
N-894-JV,107.45,2025-08-02,08:44:30
N-894-JV,107.45,2025-08-02,08:44:31
N-894-19,73.44,2025-08-02,08:44:42
N-894-19,73.44,2025-08-02,08:44:42
N-894-1V,73.44,2025-08-02,08:44:42
N-894-1V,73.44,2025-08-02,08:44:42
4N-894-JV,75.76,2025-08-02,08:44:43
4N-894-JV,75.76,2025-08-02,08:44:43
4N-894-J4,68.38,2025-08-02,08:44:45
4N-894-J4,68.38,2025-08-02,08:44:45
4-JV,68.38,2025-08-02,08:44:45
4-JV,68.38,2025-08-02,08:44:46
PETEN-B94-SV,75.12,2025-08-02,08:44:50
PETEN-B94-SV,75.12,2025-08-02,08:44:50
F4-JV,75.12,2025-08-02,08:44:52
F4-JV,75.12,2025-08-02,08:44:52
PET4N-B94-JY,103.83,2025-08-02,08:44:54
PET4N-B94-JY,103.83,2025-08-02,08:44:54
HB94JY,120.84,2025-08-02,08:44:56
HB94JY,120.84,2025-08-02,08:44:56
7H-894-J0,107.31,2025-08-02,08:45:01
7H-894-J0,107.31,2025-08-02,08:45:01
554-XH,128.26,2025-08-02,08:45:08
554-XH,128.26,2025-08-02,08:45:09
556-XH,155.79,2025-08-02,08:45:12
556-XH,155.79,2025-08-02,08:45:12
656-XH,195.09,2025-08-02,08:45:19
656-XH,195.09,2025-08-02,08:45:19
-656XH,192.58,2025-08-02,08:45:21
-656XH,192.58,2025-08-02,08:45:22
L-656XH,212.44,2025-08-02,08:45:25
L-656XH,212.44,2025-08-02,08:45:26
L-656-XH,179.85,2025-08-02,08:45:31
L-656-XH,179.85,2025-08-02,08:45:31
L656-XH,187.35,2025-08-02,08:45:42
L656-XH,187.35,2025-08-02,08:45:43
-656-XH,207.63,2025-08-02,08:45:48
-656-XH,207.63,2025-08-02,08:45:48
7656-XH,153.29,2025-08-02,08:46:04
7656-XH,153.29,2025-08-02,08:46:04
11-656-H,63.08,2025-08-02,08:46:13
11-656-H,63.08,2025-08-02,08:46:14
1L-656-XH,66.69,2025-08-02,08:46:17
1L-656-XH,66.69,2025-08-02,08:46:18
L-656-H,182.17,2025-08-02,08:46:20
L-656-H,182.17,2025-08-02,08:46:20
4L-656-XH,102.14,2025-08-02,08:46:29
4L-656-XH,102.14,2025-08-02,08:46:29
JL-656XH,101.98,2025-08-02,08:46:33
JL-656XH,101.98,2025-08-02,08:46:33
TU-656-XH,92.77,2025-08-02,08:46:44
TU-656-XH,92.77,2025-08-02,08:46:45
TL-656-XH,116.8,2025-08-02,08:46:46
TL-656-XH,116.8,2025-08-02,08:46:47
TL-656XH,73.83,2025-08-02,08:46:51
TL-656XH,73.83,2025-08-02,08:46:51
AT-656-XH,121.89,2025-08-02,08:47:12
AT-656-XH,121.89,2025-08-02,08:47:13
UNREADABLE,119.45,2025-08-02,08:47:20
FL-856-X,119.19,2025-08-02,08:47:29
FL-856-X,119.19,2025-08-02,08:47:30
UNREADABLE,120.86,2025-08-02,08:47:31
WT-B56-XH,126.25,2025-08-02,08:47:33
WT-B56-XH,126.25,2025-08-02,08:47:34
BLE,217.49,2025-08-02,08:48:35
BLE,217.49,2025-08-02,08:48:36
L,212.56,2025-08-02,08:48:36
L,212.56,2025-08-02,08:48:37
H-ALE,189.64,2025-08-02,08:48:37
H-ALE,189.64,2025-08-02,08:48:37
HALT,167.48,2025-08-02,08:48:38
HALT,167.48,2025-08-02,08:48:38
4H-644-LE,117.88,2025-08-02,08:48:39
4H-644-LE,117.88,2025-08-02,08:48:39
4H-S44-LT,62.24,2025-08-02,08:48:41
4H-S44-LT,62.24,2025-08-02,08:48:41
5UGALX,61.85,2025-08-02,08:48:43
5UGALX,61.85,2025-08-02,08:48:43
5H-G4E-LE,76.31,2025-08-02,08:48:46
5H-G4E-LE,76.31,2025-08-02,08:48:46
BS44-LY,82.15,2025-08-02,08:48:48
BS44-LY,82.15,2025-08-02,08:48:48
3PE4LX,89.3,2025-08-02,08:48:49
3PE4LX,89.3,2025-08-02,08:48:49
XHE4A-LX,67.95,2025-08-02,08:48:52
XHE4A-LX,67.95,2025-08-02,08:48:52
HEG4A-L,75.25,2025-08-02,08:48:54
HEG4A-L,75.25,2025-08-02,08:48:54
TY,80.05,2025-08-02,08:49:01
TY,80.05,2025-08-02,08:49:01
H-644-LX,107.64,2025-08-02,08:49:23
H-644-LX,107.64,2025-08-02,08:49:23
4H-644-LX,121.66,2025-08-02,08:49:27
4H-644-LX,121.66,2025-08-02,08:49:27
1H644-LX,121.81,2025-08-02,08:49:31
1H644-LX,121.81,2025-08-02,08:49:31
WELX,105.17,2025-08-02,08:49:46
WELX,105.17,2025-08-02,08:49:46
H-544-LX,80.94,2025-08-02,08:49:55
H-544-LX,80.94,2025-08-02,08:49:55
H-64H-644-LX,133.69,2025-08-02,08:50:00
H-64H-644-LX,133.69,2025-08-02,08:50:00
